Dataset,Norm type,Metric,svr_mean,svr_var,XGBR_mean,XGBR_var
wine,tanh,MAE,0.6070947866926089,0.00015991065511469145,0.45837248860872715,9.12963849733237e-05
wine,tanh,MSE,0.6266117951746268,0.0003905416444373572,0.39894678222893126,0.00027818970739007564
wine,tanh,R2,0.16201799470344894,2.7984401103842796e-05,0.4664984012658581,0.00022105042161479327
wine,minmax,MAE,0.5369245316242753,0.00010798947663098065,0.458636965238131,9.055052185172173e-05
wine,minmax,MSE,0.48519520388654147,0.00043701885275917166,0.39914319278942545,0.0002720324726235759
wine,minmax,R2,0.3513136704805414,0.0001415489907325601,0.4662244165639729,0.00022199539209971582
wine,zscore,MAE,0.510018398179859,0.00011246142846066662,0.45813347772451546,9.190771041737059e-05
wine,zscore,MSE,0.4527935697122912,0.0003745028633579569,0.39861894125625624,0.00027722641252794924
wine,zscore,R2,0.3946588927437792,7.994441282993566e-05,0.46694463703567923,0.0002109192254698469
wine,variablescaling,MAE,0.5992521178763068,9.217916411217631e-05,0.45850682119222785,9.199900081612085e-05
wine,variablescaling,MSE,0.5883784825392875,0.00042159157816390675,0.3992524772228719,0.00027810234196496894
wine,variablescaling,R2,0.21323350361575227,2.79658376284474e-05,0.46607634459852554,0.00023609809933909212
wine,Un,MAE,0.6160208318612659,0.00019532149133776774,0.4581871796387893,9.0903371204569e-05
wine,Un,MSE,0.630104326613968,0.0006309695534049894,0.3988443872214046,0.00028216875310750264
wine,Un,R2,0.15754396413720936,0.00010701493995873224,0.46663707113630315,0.00022683335632850835
