Dataset,Norm type,Metric,svr_mean,svr_var,XGBR_mean,XGBR_var
compHardware,zscore,MAE,43.61016768056752,146.38644058858551,11.010737228393555,17.315315381738305
compHardware,zscore,MSE,10951.698153540026,66811720.07372787,973.177378788069,649144.7698017437
compHardware,zscore,R2,0.12091864212957829,0.012836626955648503,0.8990191829847353,0.004035947570248123
compHardware,variablescaling,MAE,42.053637470694866,147.30141714571567,10.978816286722818,17.47803595842391
compHardware,variablescaling,MSE,10824.705933599736,66887403.76939062,969.4757258178073,653563.3197064891
compHardware,variablescaling,R2,0.13787209793881855,0.014920898836006165,0.8991744695039834,0.004062471023527123
compHardware,tanh,MAE,43.60687721626799,146.39505184482303,11.021818833124069,17.239868609935193
compHardware,tanh,MSE,10951.43134483088,66809673.31446819,974.449144699757,647324.3420865035
compHardware,tanh,R2,0.1209454210470671,0.012837497752068888,0.898733988684022,0.004013251186564769
compHardware,minmax,MAE,42.79316777358642,145.50178622669995,11.005330648876372,17.164128134136618
compHardware,minmax,MSE,10926.07351283418,67307820.49072503,971.9589777036766,644696.5086190968
compHardware,minmax,R2,0.12630355624076522,0.013961114745039315,0.8990700073950398,0.00402556409666469
compHardware,Un,MAE,50.35914362388654,20.732786835769996,17.381732604617167,12.542674284033875
compHardware,Un,MSE,14950.36941647211,36858103.86514135,2043.046559279313,879402.1094491796
compHardware,Un,R2,0.09684154255309411,0.0038912711908731024,0.8684131840012854,0.0029580233010171103
