Dataset,Norm type,Metric,NN_mean,NN_std
compHardware,zscore,MAE,84.36989104180108,10.185066033535433
compHardware,zscore,MSE,21635.448616411777,9021.834247704806
compHardware,zscore,R2,-0.5942453425578101,0.20281623843423893
compHardware,variablescaling,MAE,85.8295672076089,10.499630331487207
compHardware,variablescaling,MSE,22016.823761065272,9037.52577012744
compHardware,variablescaling,R2,-0.6263465642811917,0.21646552617854353
compHardware,tanh,MAE,86.13615347317287,10.890688742751747
compHardware,tanh,MSE,22090.5522262396,9232.751507322726
compHardware,tanh,R2,-0.625353430273779,0.20507416464212413
compHardware,minmax,MAE,85.96778685450553,9.625464526546878
compHardware,minmax,MSE,21868.476839774576,8791.965631246316
compHardware,minmax,R2,-0.6246492590713474,0.23108503583430007
compHardware,Un,MAE,92.68498021988641,10.997623911957028
compHardware,Un,MSE,27378.928178736405,8650.905729348804
compHardware,Un,R2,-0.5144350056186185,0.1333030062183543
